Species,Strain,Samples , Ethyl Acetate,Ethanol,"Propanoic acid, ethyl ester",2-Pentanone,Decane,Methyl Isobutyl Ketone,Amylene hydrate,"Butanoic acid, 2-methyl-, methyl ester",Isobutyl acetate,Methyl isovalerate,1-Propanol,Methyl thiolacetate,"Butanoic acid, 2-methyl-, ethyl ester",2-Hexanone,Ethyl isocyanide,"1-Propanol, 2-methyl-","2-Pentanol, 2-methyl-",2-Pentanol,"1-Butanol, 3-methyl-, acetate",1 - Undecene,1-Butanol,2-Heptanone,Dodecane,"1-Butanol, 3-methyl-", S-Methyl 3-methylbutanethioate,"2-Heptanone, 4,6-dimethyl-"," 3-Buten-1-ol, 3-methyl-","Thiocyanic acid, methyl ester",Acetoin,"1-Pentanol, 2-methyl-","Butanoic acid, 3-methyl-, 2-methylbutyl ester","2-Heptanol, 4-methyl-",2-Nonanone ,Acetic acid,2-Nonanol,Pyrrole,"1H-Pyrrole, 2-methyl-","1-Heptanol, 2,4-dimethyl-,",Propanoic acid,"Propanoic acid, 2-methyl-",1-Octanol,2-Undecanone,"Benzoic acid, methyl ester",Butyrolactone ," Decanoic acid, ethyl ester","Acetic acid, decyl ester",2-Undecanol,"Butanoic acid, 3-methyl-",2-Dodecanone,1-Decanol,2-Tridecanone," Dodecanoic acid, ethyl ester","1,4-Butanediol",Phenylethyl Alcohol,"Acetophenone, 2'-amino-",2-Tridecanol,Tetradecanal,1-Dodecanol,Methyl tetradecanoate, 2-Pentadecanone,"Tetradecanoic acid, ethyl ester",Hexadecanal,n-Tridecan-1-ol,1-Tetradecanol,n-Pentadecanol, 1-Hexadecanol,Indole
PA,3,PA.B_BHI_C,464030.0,1418380,,2816991,919172,0.0,0,0.0,0.0,186812.0,,195548.0,,,,253310,0.0,603395.0,,4007625.0,1383807.0,173245,0.0,10928654,445853.0,0.0,704490,0.0,0,,299340.0,0.0,1902515.0,,177301.0,326505.0,446231.0,0.0,,,,1504377.0,0.0,,,,0.0,,,,,,,,187550.0,,,,,,,,,,,,
PA,3,PA.B_BHI_D,0.0,1132339,,601736,0,0.0,0,0.0,0.0,186812.0,,0.0,,,,0,0.0,0.0,,9898560.0,2140101.0,0,0.0,9724620,358783.0,0.0,280708,0.0,0,,0.0,0.0,2056831.0,,1341480.0,431146.0,371797.0,0.0,,,,1414962.0,0.0,,,,1475968.0,,,,,,,,263572.0,,,,,,,,,,,,
PA,3,PA.B_BHI_E,216975.0,1972423,,601858,0,0.0,153432,0.0,0.0,297159.0,,154471.0,,,,0,0.0,0.0,,9991209.0,1924978.0,0,0.0,11098959,283587.0,0.0,357840,0.0,0,,0.0,0.0,653072.0,,2038751.0,469015.0,476178.0,0.0,,,,1644906.0,0.0,,,,2030548.0,,,,,,,,174715.0,,,,,,,,,,,,
PA,2,PA.A_LB_A,0.0,0,,4593791,2992449,0.0,759098,485375.0,0.0,216150.0,,348919.0,,,,380392,302615.0,1287201.0,,8342977.0,2234272.0,224725,0.0,4257835,0.0,277538.0,586549,0.0,0,,0.0,0.0,499357.0,,0.0,389023.0,0.0,0.0,,,,997986.0,0.0,,,,336517.0,,,,,,,,0.0,,,,,,,,,,,,
PA,2,PA.A_LB_B,0.0,2100747,,1556357,0,0.0,0,376964.0,0.0,0.0,,227796.0,,,,282434,0.0,0.0,,2459069.0,1433351.0,290026,265644.0,13725691,673230.0,159405.0,0,0.0,0,,158021.0,0.0,560505.0,,0.0,546083.0,391414.0,0.0,,,,849044.0,0.0,,,,161420.0,,,,,,,,121447.0,,,,,,,,,,,,
PA,2,PA.A_LB_C,0.0,0,,818478,952843,0.0,0,652996.0,0.0,440817.0,,172824.0,,,,0,0.0,295691.0,,6362319.0,3105858.0,0,0.0,2006588,411246.0,0.0,0,0.0,0,,0.0,0.0,159552.0,,0.0,213409.0,0.0,0.0,,,,290081.0,0.0,,,,0.0,,,,,,,,109399.0,,,,,,,,,,,,
PA,2,PA.A_LB_D,0.0,0,,925725,872643,0.0,0,841665.0,0.0,634921.0,,285764.0,,,,0,93933.0,385151.0,,4710524.0,1478897.0,0,160587.0,896822,443795.0,109969.0,0,0.0,0,,0.0,0.0,0.0,,0.0,161968.0,0.0,0.0,,,,95115.0,0.0,,,,0.0,,,,,,,,67823.0,,,,,,,,,,,,
PA,2,PA.A_LB_E,0.0,0,,635916,564067,0.0,0,0.0,0.0,0.0,,85577.0,,,,60927,0.0,170196.0,,1546224.0,0.0,0,0.0,1243337,89553.0,0.0,0,0.0,0,,0.0,0.0,301572.0,,56849.0,103804.0,0.0,0.0,,,,352609.0,0.0,,,,151796.0,,,,,,,,99558.0,,,,,,,,,,,,
PA,3,PA.B_LB_A,0.0,0,,1443975,0,0.0,0,719792.0,214722.0,290888.0,,308465.0,,,,0,0.0,309470.0,,11316169.0,0.0,144220,0.0,1592331,186653.0,0.0,0,301551.0,0,,0.0,0.0,1275136.0,,373646.0,142532.0,0.0,0.0,,,,1257669.0,0.0,,,,482499.0,,,,,,,,553094.0,,,,,,,,,,,,
PA,3,PA.B_LB_B,0.0,0,,430258,1105838,0.0,0,1341476.0,0.0,553733.0,,173497.0,,,,0,0.0,451246.0,,6330153.0,0.0,0,0.0,6970540,178945.0,0.0,0,171424.0,0,,0.0,0.0,198681.0,,306951.0,408522.0,0.0,0.0,,,,287829.0,0.0,,,,0.0,,,,,,,,439975.0,,,,,,,,,,,,
PA,3,PA.B_LB_C,0.0,71200,,612393,920844,0.0,0,1437190.0,149294.0,608115.0,,267753.0,,,,114084,0.0,282138.0,,10477684.0,0.0,88040,0.0,2274161,197864.0,130510.0,100140,254571.0,0,,0.0,0.0,265616.0,,198782.0,153817.0,0.0,0.0,,,,178546.0,0.0,,,,59911.0,,,,,,,,516248.0,,,,,,,,,,,,
PA,3,PA.B_LB_D,0.0,0,,521478,726757,0.0,0,1098813.0,0.0,539042.0,,185840.0,,,,125236,50818.0,229256.0,,8408280.0,0.0,0,0.0,2006092,106432.0,85656.0,82100,277327.0,0,,0.0,0.0,381346.0,,53306.0,83078.0,0.0,0.0,,,,195093.0,0.0,,,,0.0,,,,,,,,362422.0,,,,,,,,,,,,
PA,3,PA.B_LB_E,0.0,0,,1257192,0,0.0,0,691874.0,196600.0,264088.0,,325764.0,,,,106088,77304.0,313564.0,,6122284.0,0.0,199717,0.0,2050926,153090.0,183690.0,132599,347183.0,0,,0.0,0.0,1766587.0,,422604.0,143921.0,0.0,0.0,,,,1411966.0,0.0,,,,384342.0,,,,,,,,569141.0,,,,,,,,,,,,
PA,2,PA.A_TSB_A,102838.0,407274,,312919,416155,878501.0,0,0.0,0.0,0.0,,180978.0,,,,613288,0.0,1220117.0,,1089098.0,297541.0,0,0.0,37125000,1013976.0,66660.0,94665,0.0,0,,590669.0,254736.0,77440.0,,315708.0,296002.0,437807.0,50895.0,,,,0.0,85303.0,,,,220455.0,,,,,,,,0.0,,,,,,,,,,,,
PA,2,PA.A_TSB_B,366196.0,105844,,922111,405410,1044023.0,0,0.0,0.0,0.0,,350140.0,,,,533119,138682.0,1405586.0,,1586875.0,1330842.0,131327,0.0,25630541,922092.0,84463.0,138407,0.0,0,,174814.0,237817.0,174811.0,,364610.0,348566.0,501438.0,57295.0,,,,95420.0,129277.0,,,,327898.0,,,,,,,,0.0,,,,,,,,,,,,
PA,2,PA.A_TSB_C,168119.0,201974,,790827,185434,920649.0,0,0.0,0.0,0.0,,120517.0,,,,358184,96881.0,1206319.0,,0.0,292562.0,0,0.0,28478038,647846.0,53945.0,123534,0.0,0,,153504.0,222587.0,360272.0,,437056.0,361440.0,600925.0,65646.0,,,,266974.0,128608.0,,,,430422.0,,,,,,,,284883.0,,,,,,,,,,,,
PA,2,PA.A_TSB_D,0.0,100302,,484660,454496,524710.0,0,0.0,0.0,0.0,,96861.0,,,,528587,61466.0,768442.0,,2178707.0,546953.0,0,0.0,18337136,409427.0,0.0,81767,0.0,0,,323499.0,167137.0,463341.0,,428548.0,267344.0,438524.0,0.0,,,,586721.0,133784.0,,,,617888.0,,,,,,,,551104.0,,,,,,,,,,,,
PA,3,PA.B_TSB_A,224198.0,213164,,809906,706936,932763.0,0,0.0,0.0,0.0,,203944.0,,,,436552,0.0,1209988.0,,12921628.0,0.0,83664,0.0,18573029,91195.0,131925.0,141355,115156.0,0,,173217.0,119002.0,525712.0,,1285724.0,142353.0,424489.0,79448.0,,,,4396492.0,111623.0,,,,2800635.0,,,,,,,,1528228.0,,,,,,,,,,,,
PA,3,PA.B_TSB_B,191043.0,113006,,531903,512688,1026786.0,0,0.0,0.0,0.0,,236598.0,,,,492060,64027.0,2282603.0,,7584736.0,0.0,182915,0.0,24462435,114948.0,88116.0,71410,99820.0,0,,172688.0,125798.0,524913.0,,1297487.0,383895.0,621874.0,55187.0,,,,1447782.0,81423.0,,,,3287479.0,,,,,,,,1937240.0,,,,,,,,,,,,
PA,3,PA.B_TSB_C,0.0,100112,,219493,0,0.0,0,109543.0,173727.0,0.0,,164078.0,,,,0,76978.0,585679.0,,12179961.0,629727.0,0,0.0,10710622,87884.0,116106.0,83352,0.0,0,,0.0,98575.0,727805.0,,1136661.0,154214.0,278470.0,54359.0,,,,1031358.0,0.0,,,,260136.0,,,,,,,,1087800.0,,,,,,,,,,,,
EC,0,EC.A_BHI_A,1335746.0,10739591,127719.0,3891622,664734,,353713,,138071.0,,0.0,154284.0,,149124.0,105966.0,636845,173087.0,,,,5985957.0,408380,0.0,12137381,,204993.0,715127,,203554,186787.0,,,308038.0,5449509.0,,,,145400.0,108830.0,,1303753.0,428336.0,584398.0,,0.0,51900.0,0.0,,0.0,1120106.0,96559.0,0.0,,219638.0,,0.0,0.0,1087630.0,0.0,0.0,0.0,0.0,0.0,1119579.0,0.0,1061325.0,10282706.0
